device_time_stamp,system_time_stamp,left_gaze_direction_unit_vector,left_gaze_direction_validity,left_gaze_origin_position_in_hmd_coordinates,left_gaze_origin_validity,left_pupil_diameter,left_pupil_validity,left_pupil_position_in_tracking_area,left_pupil_position_validity,right_gaze_direction_unit_vector,right_gaze_direction_validity,right_gaze_origin_position_in_hmd_coordinates,right_gaze_origin_validity,right_pupil_diameter,right_pupil_validity,right_pupil_position_in_tracking_area,right_pupil_position_validity
876784845,761970627810,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.49045899510383606, 0.6166530847549438)",1,"(-0.2522125244140625, -0.3340301513671875, 0.908172607421875)",1,"(-28.821029663085938, 9.46697998046875, -38.709503173828125)",1,4.035003662109375,1,"(0.4667091369628906, 0.38832566142082214)",1
876793177,761970636142,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4898107051849365, 0.6131314635276794)",1,"(-0.2529296875, -0.351654052734375, 0.90130615234375)",1,"(-28.797622680664062, 9.384750366210938, -38.389404296875)",1,3.8397064208984375,1,"(0.4658909738063812, 0.3914099931716919)",1
876801508,761970644473,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4894106388092041, 0.6123604774475098)",1,"(-0.25555419921875, -0.3415679931640625, 0.9044342041015625)",1,"(-28.775802612304688, 9.337387084960938, -38.229278564453125)",1,4.0872802734375,1,"(0.46550530195236206, 0.38998645544052124)",1
876809840,761970652805,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.48809564113616943, 0.6156917810440063)",1,"(-0.2627105712890625, -0.3299560546875, 0.9066925048828125)",1,"(-28.781082153320312, 9.467117309570312, -38.87898254394531)",1,3.9796600341796875,1,"(0.4666944146156311, 0.38938817381858826)",1
876818171,761970661136,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.48900771141052246, 0.6131799817085266)",1,"(-0.2378387451171875, -0.34783935546875, 0.9068756103515625)",1,"(-28.776641845703125, 9.5224609375, -38.99903869628906)",1,4.023712158203125,1,"(0.4630535840988159, 0.39077651500701904)",1
876826503,761970669468,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.488007515668869, 0.6156275272369385)",1,"(-0.2491455078125, -0.346649169921875, 0.904296875)",1,"(-28.756027221679688, 9.509475708007812, -39.077423095703125)",1,4.0048675537109375,1,"(0.46387383341789246, 0.39193594455718994)",1
876834834,761970677799,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4849942922592163, 0.609677791595459)",1,"(-0.24639892578125, -0.3283233642578125, 0.9118499755859375)",1,"(-28.737380981445312, 9.381301879882812, -38.4837646484375)",1,4.0550079345703125,1,"(0.4627944827079773, 0.38849076628685)",1
876843166,761970686131,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.48537468910217285, 0.6125833988189697)",1,"(-0.2377166748046875, -0.359405517578125, 0.902374267578125)",1,"(-28.724868774414062, 9.385467529296875, -38.52156066894531)",1,3.8496551513671875,1,"(0.46107277274131775, 0.39351898431777954)",1
876851497,761970694462,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4849942922592163, 0.6154889464378357)",1,"(-0.2544097900390625, -0.3304443359375, 0.90887451171875)",1,"(-28.675399780273438, 9.19677734375, -37.83531188964844)",1,4.0307159423828125,1,"(0.4616202116012573, 0.389972984790802)",1
876859829,761970702794,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4839048683643341, 0.6147818565368652)",1,"(-0.2525177001953125, -0.341796875, 0.9051971435546875)",1,"(-28.674911499023438, 9.277297973632812, -38.19178771972656)",1,4.0128326416015625,1,"(0.4613398015499115, 0.39189624786376953)",1
876868160,761970711125,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.48396602272987366, 0.6144299507141113)",1,"(-0.2575836181640625, -0.3187255859375, 0.9121551513671875)",1,"(-28.671005249023438, 9.212570190429688, -37.85552978515625)",1,3.888153076171875,1,"(0.46186867356300354, 0.3879595100879669)",1
876876492,761970719457,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.48495006561279297, 0.6167510747909546)",1,"(-0.2495574951171875, -0.3432769775390625, 0.90545654296875)",1,"(-28.66815185546875, 9.129043579101562, -37.431976318359375)",1,3.964141845703125,1,"(0.4606744349002838, 0.39084288477897644)",1
876884823,761970727788,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4842908978462219, 0.6158466935157776)",1,"(-0.2574615478515625, -0.326171875, 0.9095611572265625)",1,"(-28.624847412109375, 9.03533935546875, -37.03755187988281)",1,4.040863037109375,1,"(0.46020668745040894, 0.38822653889656067)",1
876893155,761970736120,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.48417147994041443, 0.6163294315338135)",1,"(-0.2607574462890625, -0.3320159912109375, 0.9065093994140625)",1,"(-28.62127685546875, 9.041091918945312, -37.058990478515625)",1,4.0367584228515625,1,"(0.46053698658943176, 0.38912728428840637)",1
