AdjustedTime,CombinedGazeRayWorldDirection,CombinedGazeRayWorldOrigin,CombinedGazeRayWorldValid,GazeData_TimeStamp,LeftGazeDirection,LeftGazeDirectionValid,LeftGazeOrigin,LeftGazeOriginValid,LeftGazeRayWorldDirection,LeftGazeRayWorldOrigin,LeftGazeRayWorldValid,LeftPupilDiameter,LeftPupilDiameterValid,Pose_Position,Pose_Rotation,Pose_Valid,RightGazeDirection,RightGazeDirectionValid,RightGazeOrigin,RightGazeOriginValid,RightGazeRayWorldDirection,RightGazeRayWorldOrigin,RightGazeRayWorldValid,RightPupilDiameter,RightPupilDiameterValid
0.166629,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981522046,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34730000, 407.33710000, 459.87030000)","(-0.12427320, 0.14838610, 0.02381511, 0.98080100)",True,"(0.12298580, -0.20310970, 0.97138980)",True,"(0.02781517, 0.02212534, -0.09048609)",True,"(0.41141140, 0.04826991, 0.91017070)","(431.34620000, 407.33610000, 459.77310000)",True,0.00232736,True
0.174961,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981530378,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34720000, 407.33600000, 459.86990000)","(-0.12579390, 0.14812890, 0.02331046, 0.98065810)",True,"(0.12214660, -0.20188900, 0.97175600)",True,"(0.02781958, 0.02213592, -0.09055362)",True,"(0.41003300, 0.05221653, 0.91057480)","(431.34620000, 407.33470000, 459.77270000)",True,0.00232079,True
0.183292,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981538709,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34710000, 407.33490000, 459.86960000)","(-0.12731410, 0.14787140, 0.02280580, 0.98051270)",True,"(0.12190250, -0.20301820, 0.97154240)",True,"(0.02782401, 0.02212534, -0.09048609)",True,"(0.40925980, 0.05375111, 0.91083330)","(431.34620000, 407.33330000, 459.77240000)",True,0.00231537,True
0.191624,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981547041,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34710000, 407.33370000, 459.86920000)","(-0.12874570, 0.14762510, 0.02237897, 0.98037270)",True,"(0.12132260, -0.20083620, 0.97207640)",True,"(0.02781958, 0.02198468, -0.08991112)",True,"(0.40813370, 0.05854654, 0.91104290)","(431.34630000, 407.33180000, 459.77260000)",True,0.00232832,True
0.199955,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981555372,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34700000, 407.33200000, 459.86900000)","(-0.12932550, 0.14749200, 0.02270250, 0.98030890)",True,"(0.12007140, -0.20462040, 0.97143550)",True,"(0.02781517, 0.02184401, -0.08933613)",True,"(0.40685390, 0.05602052, 0.91177390)","(431.34640000, 407.33000000, 459.77300000)",True,0.00234824,True
0.208287,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981563704,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34690000, 407.33020000, 459.86890000)","(-0.12990530, 0.14735880, 0.02302605, 0.98024480)",True,"(0.11790470, -0.19850160, 0.97297670)",True,"(0.02779677, 0.02137517, -0.08741272)",True,"(0.40448980, 0.06361590, 0.91232720)","(431.34690000, 407.32820000, 459.77470000)",True,0.00239899,True
0.216618,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981572035,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34680000, 407.32850000, 459.86870000)","(-0.13048500, 0.14722560, 0.02334956, 0.98018010)",True,"(0.11843870, -0.19737240, 0.97314450)",True,"(0.02779677, 0.02137517, -0.08741272)",True,"(0.40472860, 0.06605349, 0.91204810)","(431.34680000, 407.32640000, 459.77460000)",True,0.00238585,True
0.22495,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981580367,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34670000, 407.32700000, 459.86870000)","(-0.13085520, 0.14701950, 0.02363889, 0.98015480)",True,"(0.11798100, -0.19670100, 0.97332760)",True,"(0.02779677, 0.02137517, -0.08741272)",True,"(0.40393190, 0.06762372, 0.91228620)","(431.34680000, 407.32480000, 459.77450000)",True,0.00237830,True
0.233281,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981588698,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34660000, 407.32600000, 459.86860000)","(-0.13082660, 0.14667490, 0.02386305, 0.98020480)",True,"(0.11997990, -0.19834900, 0.97274780)",True,"(0.02773645, 0.02070996, -0.08448851)",True,"(0.40521010, 0.06596944, 0.91184040)","(431.34750000, 407.32390000, 459.77730000)",True,0.00245902,True
0.241613,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981597030,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34640000, 407.32500000, 459.86860000)","(-0.13079800, 0.14633030, 0.02408723, 0.98025470)",True,"(0.12170410, -0.19917300, 0.97236630)",True,"(0.02773645, 0.02070996, -0.08448851)",True,"(0.40621250, 0.06516156, 0.91145240)","(431.34750000, 407.32300000, 459.77730000)",True,0.00245433,True
