AdjustedTime,CombinedGazeRayWorldDirection,CombinedGazeRayWorldOrigin,CombinedGazeRayWorldValid,GazeData_TimeStamp,LeftGazeDirection,LeftGazeDirectionValid,LeftGazeOrigin,LeftGazeOriginValid,LeftGazeRayWorldDirection,LeftGazeRayWorldOrigin,LeftGazeRayWorldValid,LeftPupilDiameter,LeftPupilDiameterValid,Pose_Position,Pose_Rotation,Pose_Valid,RightGazeDirection,RightGazeDirectionValid,RightGazeOrigin,RightGazeOriginValid,RightGazeRayWorldDirection,RightGazeRayWorldOrigin,RightGazeRayWorldValid,RightPupilDiameter,RightPupilDiameterValid
0.174961,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574654650,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88080000, 407.00560000, 460.27150000)","(0.76784260, -0.11665470, 0.61763680, 0.12383160)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.183293,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574662982,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88090000, 407.00460000, 460.27070000)","(0.76811110, -0.11668240, 0.61663290, 0.12710090)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.191624,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574671313,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88100000, 407.00360000, 460.27000000)","(0.76837040, -0.11670880, 0.61562170, 0.13036810)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.199956,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574679645,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88110000, 407.00250000, 460.26930000)","(0.76862070, -0.11673380, 0.61460340, 0.13363410)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.208287,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574687976,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88230000, 407.00190000, 460.26840000)","(0.76811110, -0.11626060, 0.61299410, 0.14396920)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.216619,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574696308,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88360000, 407.00140000, 460.26740000)","(0.76732040, -0.11565430, 0.61116340, 0.15595760)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.22495,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574704639,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88490000, 407.00080000, 460.26640000)","(0.76641600, -0.11503080, 0.60924200, 0.16792490)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.233282,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574712971,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88630000, 407.00030000, 460.26540000)","(0.76539780, -0.11439020, 0.60723010, 0.17986880)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.241613,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574721302,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88760000, 406.99980000, 460.26430000)","(0.76426680, -0.11373300, 0.60512910, 0.19178100)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.249945,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574729634,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88890000, 406.99910000, 460.26340000)","(0.76306900, -0.11426660, 0.60316560, 0.20213890)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
